rec_id,study,group,dimension,provenance,verdict,detail
324,Gomez2017_CCR,Japanese (young),disaggregated-AANHPI,directly-reported-IRR,VERIFIED,value found in source PDF
324,Gomez2017_CCR,Filipino (young),disaggregated-AANHPI,directly-reported-IRR,VERIFIED,value found in source PDF
324,Gomez2017_CCR,Asian-American combined,subtype-TNBC,directly-reported-IRR,VERIFIED,value found in source PDF
324,Gomez2017_CCR,Asian-American combined,subtype-HRneg-HER2pos,directly-reported-IRR,VERIFIED,value found in source PDF
324,Gomez2017_CCR,South Asian,subtype-HRpos-HER2neg,directly-reported-IRR,VERIFIED,value found in source PDF
324,Gomez2017_CCR,Vietnamese,subtype-HRpos-HER2neg,directly-reported-IRR,VERIFIED,value found in source PDF
234,Gomez2026_SEER21,Asian American (aggregate),disaggregated-AANHPI,computed-from-rates-with-CI,AUTHOR,not found: min_rate=110.5
234,Gomez2026_SEER21,Asian Indian/Pakistani,disaggregated-AANHPI,computed-from-rates-with-CI,AUTHOR,not found: min_rate=133.6
234,Gomez2026_SEER21,Chinese,disaggregated-AANHPI,computed-from-rates-with-CI,AUTHOR,not found: min_rate=106.0
234,Gomez2026_SEER21,Filipina,disaggregated-AANHPI,computed-from-rates-with-CI,AUTHOR,not found: min_rate=119.5
234,Gomez2026_SEER21,Japanese,disaggregated-AANHPI,computed-from-rates-with-CI,AUTHOR,not found: min_rate=145.8
234,Gomez2026_SEER21,Korean,disaggregated-AANHPI,computed-from-rates-with-CI,VERIFIED,value found in source PDF
234,Gomez2026_SEER21,Laotian/Kampuchean,disaggregated-AANHPI,computed-from-rates-with-CI,VERIFIED,value found in source PDF
234,Gomez2026_SEER21,Vietnamese,disaggregated-AANHPI,computed-from-rates-with-CI,AUTHOR,not found: min_rate=81.8
234,Gomez2026_SEER21,Native Hawaiian/PI (aggregate),disaggregated-AANHPI,computed-from-rates-with-CI,AUTHOR,not found: min_rate=169.1
234,Gomez2026_SEER21,Native Hawaiian,disaggregated-AANHPI,computed-from-rates-with-CI,VERIFIED,value found in source PDF
