record_id,triage_signal
49,CHECK(no clear numeric IRR in text - table/figure?)
54,CHECK(no clear numeric IRR in text - table/figure?)
2,CHECK(no clear numeric IRR in text - table/figure?)
17,CHECK(no clear numeric IRR in text - table/figure?)
31,CHECK(no clear numeric IRR in text - table/figure?)
66,CHECK(no clear numeric IRR in text - table/figure?)
119,CHECK(no clear numeric IRR in text - table/figure?)
145,CHECK(no clear numeric IRR in text - table/figure?)
165,CHECK(no clear numeric IRR in text - table/figure?)
205,CHECK(no clear numeric IRR in text - table/figure?)
246,CHECK(no clear numeric IRR in text - table/figure?)
259,CHECK(no clear numeric IRR in text - table/figure?)
322,CHECK(no clear numeric IRR in text - table/figure?)
336,CHECK(no clear numeric IRR in text - table/figure?)
339,CHECK(no clear numeric IRR in text - table/figure?)
377,CHECK(no clear numeric IRR in text - table/figure?)
383,CHECK(no clear numeric IRR in text - table/figure?)
402,CHECK(no clear numeric IRR in text - table/figure?)
419,CHECK(no clear numeric IRR in text - table/figure?)
448,CHECK(no clear numeric IRR in text - table/figure?)
453,CHECK(no clear numeric IRR in text - table/figure?)
455,CHECK(no clear numeric IRR in text - table/figure?)
461,CHECK(no clear numeric IRR in text - table/figure?)
480,CHECK(no clear numeric IRR in text - table/figure?)
485,CHECK(no clear numeric IRR in text - table/figure?)
541,CHECK(no clear numeric IRR in text - table/figure?)
955,CHECK(no clear numeric IRR in text - table/figure?)
1101,CHECK(no clear numeric IRR in text - table/figure?)
2163,CHECK(no clear numeric IRR in text - table/figure?)
2610,CHECK(no clear numeric IRR in text - table/figure?)
3212,CHECK(no clear numeric IRR in text - table/figure?)
3230,CHECK(no clear numeric IRR in text - table/figure?)
3247,CHECK(no clear numeric IRR in text - table/figure?)
3267,CHECK(no clear numeric IRR in text - table/figure?)
3275,CHECK(no clear numeric IRR in text - table/figure?)
3288,CHECK(no clear numeric IRR in text - table/figure?)
4027,CHECK(no clear numeric IRR in text - table/figure?)
4058,CHECK(no clear numeric IRR in text - table/figure?)
86,CHECK(no clear numeric IRR in text - table/figure?)
475,CHECK(no clear numeric IRR in text - table/figure?)
381,CHECK(no clear numeric IRR in text - table/figure?)
3861,CHECK(no clear numeric IRR in text - table/figure?)
3891,CHECK(no clear numeric IRR in text - table/figure?)
3999,CHECK(no clear numeric IRR in text - table/figure?)
4039,CHECK(no clear numeric IRR in text - table/figure?)
4147,CHECK(no clear numeric IRR in text - table/figure?)
4333,CHECK(no clear numeric IRR in text - table/figure?)
2548,NARRATIVE(PIR/non-standard)
100,NARRATIVE?(APC/trend-dominant)
12,NARRATIVE?(APC/trend-dominant)
46,NARRATIVE?(APC/trend-dominant)
51,NARRATIVE?(APC/trend-dominant)
76,NARRATIVE?(APC/trend-dominant)
126,NARRATIVE?(APC/trend-dominant)
141,NARRATIVE?(APC/trend-dominant)
144,NARRATIVE?(APC/trend-dominant)
169,NARRATIVE?(APC/trend-dominant)
134,NARRATIVE?(APC/trend-dominant)
151,NARRATIVE?(APC/trend-dominant)
188,NARRATIVE?(APC/trend-dominant)
200,NARRATIVE?(APC/trend-dominant)
207,NARRATIVE?(APC/trend-dominant)
209,NARRATIVE?(APC/trend-dominant)
210,NARRATIVE?(APC/trend-dominant)
284,NARRATIVE?(APC/trend-dominant)
272,NARRATIVE?(APC/trend-dominant)
361,NARRATIVE?(APC/trend-dominant)
369,NARRATIVE?(APC/trend-dominant)
405,NARRATIVE?(APC/trend-dominant)
426,NARRATIVE?(APC/trend-dominant)
438,NARRATIVE?(APC/trend-dominant)
587,NARRATIVE?(APC/trend-dominant)
701,NARRATIVE?(APC/trend-dominant)
1336,NARRATIVE?(APC/trend-dominant)
1398,NARRATIVE?(APC/trend-dominant)
1478,NARRATIVE?(APC/trend-dominant)
2137,NARRATIVE?(APC/trend-dominant)
2302,NARRATIVE?(APC/trend-dominant)
2453,NARRATIVE?(APC/trend-dominant)
3322,NARRATIVE?(APC/trend-dominant)
4043,NARRATIVE?(APC/trend-dominant)
238,NO-TEXT(pdf only)
10,POOLABLE(extracted)
28,POOLABLE(extracted)
234,POOLABLE(extracted)
236,POOLABLE(extracted)
324,POOLABLE(extracted)
333,POOLABLE(extracted)
107,POOLABLE(extracted)
161,POOLABLE(extracted)
146,POOLABLE(extracted)
155,POOLABLE(extracted)
182,POOLABLE(extracted)
199,POOLABLE(extracted)
203,POOLABLE(extracted)
265,POOLABLE(extracted)
346,POOLABLE(extracted)
463,POOLABLE(extracted)
500,POOLABLE(extracted)
522,POOLABLE(extracted)
2406,POOLABLE(extracted)
2510,POOLABLE(extracted)
3182,POOLABLE(extracted)
3298,POOLABLE(extracted)
4040,POOLABLE(extracted)
3398,POOLABLE(extracted)
3662,POOLABLE(extracted)
4098,POOLABLE(extracted)
93,POOLABLE(has numeric IRR/rate+CI in text)
103,POOLABLE(has numeric IRR/rate+CI in text)
158,POOLABLE(has numeric IRR/rate+CI in text)
286,POOLABLE(has numeric IRR/rate+CI in text)
310,POOLABLE(has numeric IRR/rate+CI in text)
436,POOLABLE(has numeric IRR/rate+CI in text)
516,POOLABLE(has numeric IRR/rate+CI in text)
754,POOLABLE(has numeric IRR/rate+CI in text)
1762,POOLABLE(has numeric IRR/rate+CI in text)
2131,POOLABLE(has numeric IRR/rate+CI in text)
4026,POOLABLE(has numeric IRR/rate+CI in text)
